StockCode,total_revenue,total_quantity_sold,Average Selling Price,revenue_generated_category,quantity_sold_category,average_selling_price_category,revenue_from_high_value_customers,quantitysold_to_high_value_customer
22133,353.46,414,0.853768115942029,Medium Revenue,Medium Quantity,Low 20-40% Range,265.90999999999997,311.0
22134,179.57999999999998,457,0.39295404814004375,Low Revenue,Medium Quantity,Very Low 0-20% Range,151.44,390.0
22135,94.8,214,0.44299065420560746,Low Revenue,Medium Quantity,Very Low 0-20% Range,66.24,146.0
22136,353.09999999999997,214,1.65,Medium Revenue,Medium Quantity,Medium 40-60% Range,226.04999999999998,137.0
22137,173.3,62,2.795161290322581,Low Revenue,Low Qunatity,High 60-80% Range,149.7,54.0
22138,19323.4,4012,4.816400797607179,High Revenue,High Quantity,Very High 80-100% Range,12037.75,2513.0
22139,15124.18,3100,4.878767741935484,High Revenue,High Quantity,Very High 80-100% Range,10014.730000000001,2061.0
22141,4648.4800000000005,2267,2.0504984561093957,High Revenue,High Quantity,Medium 40-60% Range,3249.5800000000004,1588.0
22142,3787.9399999999996,2658,1.4251091045899171,High Revenue,High Quantity,Medium 40-60% Range,2368.19,1659.0
22144,6470.700000000001,3144,2.058110687022901,High Revenue,High Quantity,Medium 40-60% Range,4248.3,2055.0
22146,1.95,1,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
22147,7772.65,5713,1.3605198669700682,High Revenue,High Quantity,Medium 40-60% Range,6090.2,4540.0
22148,2908.0499999999997,1559,1.8653303399615135,High Revenue,High Quantity,Medium 40-60% Range,1968.1499999999999,1077.0
22149,10955.390000000001,5580,1.9633315412186383,High Revenue,High Quantity,Medium 40-60% Range,8128.39,4210.0
22150,4610.75,2421,1.904481619165634,High Revenue,High Quantity,Medium 40-60% Range,3050.75,1621.0
22151,5369.429999999999,13499,0.39776501963108374,High Revenue,High Quantity,Very Low 0-20% Range,3996.6299999999997,10107.0
22152,791.87,1871,0.42323356493853553,Medium Revenue,High Quantity,Very Low 0-20% Range,586.49,1382.0
22153,972.3000000000001,2363,0.41146847228099875,Medium Revenue,High Quantity,Very Low 0-20% Range,738.78,1807.0
22154,1417.2,3436,0.41245634458672875,High Revenue,High Quantity,Very Low 0-20% Range,820.6800000000001,1954.0
22155,905.1,2155,0.42,Medium Revenue,High Quantity,Very Low 0-20% Range,597.66,1423.0
22156,1577.9599999999998,1863,0.8469994632313472,High Revenue,High Quantity,Low 20-40% Range,1028.86,1217.0
22157,180.2,212,0.85,Low Revenue,Medium Quantity,Low 20-40% Range,136.0,160.0
22158,7087.610000000001,2479,2.8590601048810007,High Revenue,High Quantity,High 60-80% Range,3981.36,1400.0
22161,784.3700000000001,3759,0.2086645384410748,Medium Revenue,High Quantity,Very Low 0-20% Range,385.74,1782.0
22162,312.7,106,2.9499999999999997,Medium Revenue,Low Qunatity,High 60-80% Range,147.5,50.0
22163,430.52000000000004,452,0.9524778761061947,Medium Revenue,Medium Quantity,Low 20-40% Range,189.82000000000002,202.0
22164,191.75000000000003,65,2.9500000000000006,Low Revenue,Low Qunatity,High 60-80% Range,29.500000000000004,10.0
22165,1490.65,267,5.582958801498128,High Revenue,Medium Quantity,Very High 80-100% Range,1110.2500000000002,227.0
22166,489.9000000000001,122,4.015573770491804,Medium Revenue,Medium Quantity,High 60-80% Range,410.40000000000003,112.0
22167,970.4,112,8.664285714285715,Medium Revenue,Medium Quantity,Very High 80-100% Range,403.25,55.0
22168,967.3,115,8.411304347826087,Medium Revenue,Medium Quantity,Very High 80-100% Range,508.3,61.0
22169,7801.24,1001,7.793446553446553,High Revenue,High Quantity,Very High 80-100% Range,6386.84,833.0
22170,6135.150000000001,987,6.2159574468085115,High Revenue,High Quantity,Very High 80-100% Range,4462.95,735.0
22171,11658.58,1647,7.078676381299332,High Revenue,High Quantity,Very High 80-100% Range,8645.98,1275.0
22173,5491.24,1884,2.9146709129511676,High Revenue,High Quantity,High 60-80% Range,4062.55,1407.0
22174,3780.1099999999997,2535,1.4911676528599604,High Revenue,High Quantity,Medium 40-60% Range,3098.39,2107.0
22175,1206.5500000000002,409,2.9500000000000006,High Revenue,Medium Quantity,High 60-80% Range,634.2500000000001,215.0
22176,787.6500000000001,267,2.95,Medium Revenue,Medium Quantity,High 60-80% Range,386.45000000000005,131.0
22178,28015.11,21905,1.2789367724263867,High Revenue,High Quantity,Low 20-40% Range,21034.64,16710.0
22179,3943.44,606,6.507326732673268,High Revenue,Medium Quantity,Very High 80-100% Range,3010.89,465.0
22180,2293.5,234,9.801282051282051,High Revenue,Medium Quantity,Very High 80-100% Range,1084.55,109.0
22181,204.85,241,0.85,Medium Revenue,Medium Quantity,Low 20-40% Range,109.64999999999999,129.0
22182,555.1,154,3.6045454545454545,Medium Revenue,Medium Quantity,High 60-80% Range,203.25,59.0
22183,446.70000000000005,71,6.291549295774648,Medium Revenue,Low Qunatity,Very High 80-100% Range,322.20000000000005,52.0
22184,34.0,4,8.5,Low Revenue,Low Qunatity,Very High 80-100% Range,34.0,4.0
22185,1910.8999999999999,1356,1.4092182890855456,High Revenue,High Quantity,Medium 40-60% Range,1075.79,733.0
22186,1606.79,741,2.1684075573549255,High Revenue,Medium Quantity,Medium 40-60% Range,807.84,360.0
22187,2506.97,1157,2.166784788245462,High Revenue,High Quantity,Medium 40-60% Range,1428.1699999999998,671.0
22188,11864.18,4728,2.509344331641286,High Revenue,High Quantity,High 60-80% Range,10912.23,4487.0
22189,22320.57,8095,2.7573279802347126,High Revenue,High Quantity,High 60-80% Range,19354.940000000002,7334.0
22190,689.13,506,1.3619169960474309,Medium Revenue,Medium Quantity,Medium 40-60% Range,562.5600000000001,429.0
22191,10523.0,1296,8.119598765432098,High Revenue,High Quantity,Very High 80-100% Range,8588.400000000001,1066.0
22192,5621.53,667,8.428080959520239,High Revenue,Medium Quantity,Very High 80-100% Range,4254.7300000000005,505.0
22193,9316.59,1132,8.230203180212014,High Revenue,High Quantity,Very High 80-100% Range,6258.29,753.0
22194,399.5,47,8.5,Medium Revenue,Low Qunatity,Very High 80-100% Range,272.0,32.0
22195,2118.6699999999996,1251,1.693581135091926,High Revenue,High Quantity,Medium 40-60% Range,1362.9699999999998,793.0
22196,1582.73,1829,0.8653526517222526,High Revenue,High Quantity,Low 20-40% Range,996.2299999999999,1139.0
22197,34429.08,45632,0.7544942145862553,High Revenue,High Quantity,Very Low 0-20% Range,30283.03,40479.0
22198,1159.35,739,1.5688092016238158,High Revenue,Medium Quantity,Medium 40-60% Range,1088.3999999999999,696.0
22199,712.0,222,3.2072072072072073,Medium Revenue,Medium Quantity,High 60-80% Range,508.25,155.0
22200,758.54,210,3.612095238095238,Medium Revenue,Medium Quantity,High 60-80% Range,632.04,176.0
22201,212.25,69,3.0760869565217392,Medium Revenue,Low Qunatity,High 60-80% Range,175.75,59.0
22202,86.25,23,3.75,Low Revenue,Low Qunatity,High 60-80% Range,60.0,16.0
22203,666.13,218,3.0556422018348623,Medium Revenue,Medium Quantity,High 60-80% Range,461.13,156.0
22204,178.75,63,2.8373015873015874,Low Revenue,Low Qunatity,High 60-80% Range,150.0,54.0
22207,4591.11,1167,3.9341131105398457,High Revenue,High Quantity,High 60-80% Range,4127.86,1058.0
22208,1112.57,1190,0.9349327731092436,Medium Revenue,High Quantity,Low 20-40% Range,500.90999999999997,564.0
22209,650.6999999999999,701,0.9282453637660484,Medium Revenue,Medium Quantity,Low 20-40% Range,313.4,345.0
22210,650.17,730,0.8906438356164383,Medium Revenue,Medium Quantity,Low 20-40% Range,291.88,325.0
22211,727.16,697,1.0432711621233859,Medium Revenue,Medium Quantity,Low 20-40% Range,330.99999999999994,301.0
22212,2533.17,1239,2.0445278450363196,High Revenue,High Quantity,Medium 40-60% Range,1772.97,877.0
22214,154.9,78,1.985897435897436,Low Revenue,Low Qunatity,Medium 40-60% Range,88.6,52.0
22215,1061.4,177,5.996610169491526,Medium Revenue,Medium Quantity,Very High 80-100% Range,531.4,103.0
22216,161.91,303,0.5343564356435644,Low Revenue,Medium Quantity,Very Low 0-20% Range,135.24,240.0
22217,632.51,753,0.8399867197875166,Medium Revenue,High Quantity,Low 20-40% Range,292.87,343.0
22218,4.25,1,4.25,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
22219,2574.71,3041,0.8466655705360079,High Revenue,High Quantity,Low 20-40% Range,1740.86,2060.0
22220,1190.75,177,6.727401129943503,High Revenue,Medium Quantity,Very High 80-100% Range,626.1,90.0
22221,518.85,75,6.918,Medium Revenue,Low Qunatity,Very High 80-100% Range,286.65,39.0
22222,1962.0,656,2.9908536585365852,High Revenue,Medium Quantity,High 60-80% Range,1147.8,388.0
22223,548.25,207,2.648550724637681,Medium Revenue,Medium Quantity,High 60-80% Range,289.8,124.0
22224,1891.0000000000002,660,2.8651515151515157,High Revenue,Medium Quantity,High 60-80% Range,1280.3500000000001,453.0
22227,1230.0500000000002,1897,0.6484185556141276,High Revenue,High Quantity,Very Low 0-20% Range,790.0,1220.0
22228,514.4,708,0.7265536723163841,Medium Revenue,Medium Quantity,Very Low 0-20% Range,282.97999999999996,380.0
22229,284.95,411,0.69330900243309,Medium Revenue,Medium Quantity,Very Low 0-20% Range,141.42,214.0
22230,287.82,782,0.36805626598465474,Medium Revenue,High Quantity,Very Low 0-20% Range,110.96,288.0
22231,609.93,665,0.917187969924812,Medium Revenue,Medium Quantity,Low 20-40% Range,254.62,296.0
22232,261.15,351,0.7440170940170939,Medium Revenue,Medium Quantity,Very Low 0-20% Range,142.95999999999998,192.0
22233,413.40999999999997,433,0.954757505773672,Medium Revenue,Medium Quantity,Low 20-40% Range,227.92,230.0
22236,2012.3999999999999,168,11.978571428571428,High Revenue,Medium Quantity,Very High 80-100% Range,989.55,81.0
22241,2120.28,1740,1.2185517241379311,High Revenue,High Quantity,Low 20-40% Range,1556.53,1289.0
22242,295.94999999999993,191,1.5494764397905756,Medium Revenue,Medium Quantity,Medium 40-60% Range,246.45,161.0
22243,581.6999999999999,354,1.6432203389830506,Medium Revenue,Medium Quantity,Medium 40-60% Range,410.09999999999997,250.0
22244,694.8,360,1.93,Medium Revenue,Medium Quantity,Medium 40-60% Range,371.09999999999997,194.0
22245,444.83,527,0.8440796963946868,Medium Revenue,Medium Quantity,Low 20-40% Range,343.67999999999995,408.0
22246,508.38,254,2.001496062992126,Medium Revenue,Medium Quantity,Medium 40-60% Range,252.92999999999998,123.0
22247,394.49,469,0.8411300639658849,Medium Revenue,Medium Quantity,Low 20-40% Range,221.09,265.0
22248,307.78999999999996,367,0.8386648501362397,Medium Revenue,Medium Quantity,Low 20-40% Range,149.69,181.0
22249,530.49,629,0.8433863275039746,Medium Revenue,Medium Quantity,Low 20-40% Range,247.44,296.0
22250,350.28999999999996,417,0.8400239808153477,Medium Revenue,Medium Quantity,Low 20-40% Range,168.39,203.0
22251,645.44,520,1.2412307692307694,Medium Revenue,Medium Quantity,Low 20-40% Range,332.94,270.0
22252,563.5600000000001,470,1.1990638297872342,Medium Revenue,Medium Quantity,Low 20-40% Range,292.35,243.0
22254,367.5,294,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,195.0,156.0
22255,269.45,317,0.85,Medium Revenue,Medium Quantity,Low 20-40% Range,134.29999999999998,158.0
22256,266.25,213,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,93.75,75.0
22257,163.14,258,0.6323255813953488,Low Revenue,Medium Quantity,Very Low 0-20% Range,97.97999999999999,174.0
22258,487.37,613,0.7950570962479608,Medium Revenue,Medium Quantity,Very Low 0-20% Range,273.46,410.0
22259,240.96,384,0.6275000000000001,Medium Revenue,Medium Quantity,Very Low 0-20% Range,141.89,241.0
22260,300.62,350,0.8589142857142857,Medium Revenue,Medium Quantity,Low 20-40% Range,164.62,190.0
22261,396.46,460,0.8618695652173912,Medium Revenue,Medium Quantity,Low 20-40% Range,171.20999999999998,195.0
22262,645.7199999999999,756,0.8541269841269841,Medium Revenue,High Quantity,Low 20-40% Range,387.32,452.0
22263,116.56,208,0.5603846153846154,Low Revenue,Medium Quantity,Very Low 0-20% Range,33.72,36.0
22264,423.25,1057,0.40042573320719016,Medium Revenue,High Quantity,Very Low 0-20% Range,247.20999999999998,589.0
22265,334.1,514,0.65,Medium Revenue,Medium Quantity,Very Low 0-20% Range,226.20000000000002,348.0
22266,413.99,1133,0.3653927625772286,Medium Revenue,High Quantity,Very Low 0-20% Range,212.61,475.0
22267,572.93,647,0.8855177743431221,Medium Revenue,Medium Quantity,Low 20-40% Range,331.16,338.0
22268,598.51,1609,0.3719763828464885,Medium Revenue,High Quantity,Very Low 0-20% Range,367.14,888.0
22269,420.61,617,0.6817017828200973,Medium Revenue,Medium Quantity,Very Low 0-20% Range,245.61,305.0
22270,668.97,183,3.655573770491803,Medium Revenue,Medium Quantity,High 60-80% Range,451.47,125.0
22271,3609.6200000000003,1250,2.8876960000000005,High Revenue,High Quantity,High 60-80% Range,2347.42,814.0
22272,303.85,103,2.95,Medium Revenue,Low Qunatity,High 60-80% Range,179.95000000000002,61.0
22273,10530.39,4017,2.6214563106796116,High Revenue,High Quantity,High 60-80% Range,9133.939999999999,3542.0
22274,2816.6500000000005,963,2.9248701973001046,High Revenue,High Quantity,High 60-80% Range,1822.5000000000002,626.0
22275,527.85,69,7.65,Medium Revenue,Low Qunatity,Very High 80-100% Range,527.85,69.0
22276,458.99999999999994,180,2.55,Medium Revenue,Medium Quantity,High 60-80% Range,204.0,80.0
22277,575.32,282,2.0401418439716315,Medium Revenue,Medium Quantity,Medium 40-60% Range,361.12,180.0
22278,905.85,183,4.95,Medium Revenue,Medium Quantity,Very High 80-100% Range,371.25,75.0
22279,428.41,360,1.190027777777778,Medium Revenue,Medium Quantity,Low 20-40% Range,280.91,242.0
22280,149.88,117,1.281025641025641,Low Revenue,Medium Quantity,Low 20-40% Range,83.63,64.0
22281,577.15,97,5.95,Medium Revenue,Low Qunatity,Very High 80-100% Range,339.15000000000003,57.0
22282,1006.17,77,13.067142857142857,Medium Revenue,Low Qunatity,Very High 80-100% Range,636.42,48.0
22283,1685.29,211,7.987156398104265,High Revenue,Medium Quantity,Very High 80-100% Range,715.39,89.0
22284,1407.4499999999998,853,1.6499999999999997,High Revenue,High Quantity,Medium 40-60% Range,684.7499999999999,415.0
22285,1316.6999999999998,798,1.6499999999999997,High Revenue,High Quantity,Medium 40-60% Range,744.1499999999999,451.0
22286,781.9499999999999,871,0.8977611940298507,Medium Revenue,High Quantity,Low 20-40% Range,461.48999999999995,563.0
22287,538.1999999999999,582,0.924742268041237,Medium Revenue,Medium Quantity,Low 20-40% Range,320.78999999999996,325.0
22288,497.5,398,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,261.25,209.0
22289,122.5,98,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,55.0,44.0
22291,1731.3,1194,1.45,High Revenue,High Quantity,Medium 40-60% Range,1087.5,750.0
22292,1160.0,800,1.45,High Revenue,High Quantity,Medium 40-60% Range,716.3,494.0
22293,1155.6499999999999,797,1.4499999999999997,High Revenue,High Quantity,Medium 40-60% Range,613.3499999999999,423.0
22294,5910.51,4743,1.2461543327008222,High Revenue,High Quantity,Low 20-40% Range,3561.76,2864.0
22295,3754.1699999999996,2281,1.6458439281017097,High Revenue,High Quantity,Medium 40-60% Range,2194.9199999999996,1336.0
22296,4121.23,2503,1.6465161805833,High Revenue,High Quantity,Medium 40-60% Range,2222.08,1352.0
22297,3954.47,3167,1.2486485633091253,High Revenue,High Quantity,Low 20-40% Range,2564.47,2055.0
22299,1051.34,1172,0.8970477815699658,Medium Revenue,High Quantity,Low 20-40% Range,536.1,594.0
22300,2817.8399999999997,1360,2.071941176470588,High Revenue,High Quantity,Medium 40-60% Range,1843.74,978.0
22301,4131.54,1962,2.1057798165137616,High Revenue,High Quantity,Medium 40-60% Range,3083.4900000000002,1551.0
22302,3876.25,1844,2.102087852494577,High Revenue,High Quantity,Medium 40-60% Range,2713.6,1369.0
22303,4096.45,1924,2.1291320166320165,High Revenue,High Quantity,Medium 40-60% Range,2792.65,1400.0
22304,1191.56,714,1.6688515406162465,High Revenue,Medium Quantity,Medium 40-60% Range,854.96,582.0
22305,529.8399999999999,204,2.597254901960784,Medium Revenue,Medium Quantity,High 60-80% Range,236.58999999999997,89.0
22306,1186.65,1048,1.1322996183206109,High Revenue,High Quantity,Low 20-40% Range,683.65,590.0
22307,670.9100000000001,603,1.1126202321724712,Medium Revenue,Medium Quantity,Low 20-40% Range,331.0,295.0
22308,188.14,70,2.6877142857142857,Low Revenue,Low Qunatity,High 60-80% Range,126.94,46.0
22309,643.0799999999999,267,2.408539325842696,Medium Revenue,Medium Quantity,High 60-80% Range,372.33,152.0
22310,653.6899999999999,417,1.5676019184652277,Medium Revenue,Medium Quantity,Medium 40-60% Range,350.39,215.0
22311,2506.6,912,2.7484649122807014,High Revenue,High Quantity,High 60-80% Range,2034.65,739.0
22312,729.2900000000001,257,2.8377042801556422,Medium Revenue,Medium Quantity,High 60-80% Range,500.39000000000004,165.0
22313,1075.79,415,2.5922650602409636,Medium Revenue,Medium Quantity,High 60-80% Range,996.5900000000001,387.0
22314,967.5900000000001,367,2.636485013623979,Medium Revenue,Medium Quantity,High 60-80% Range,790.2400000000001,304.0
22315,609.77,517,1.1794390715667311,Medium Revenue,Medium Quantity,Low 20-40% Range,497.27,427.0
22316,661.3000000000001,602,1.0985049833887044,Medium Revenue,Medium Quantity,Low 20-40% Range,615.0500000000001,565.0
22317,258.52000000000004,88,2.937727272727273,Medium Revenue,Low Qunatity,High 60-80% Range,137.57,47.0
22318,904.3500000000001,309,2.926699029126214,Medium Revenue,Medium Quantity,High 60-80% Range,500.20000000000005,172.0
22319,463.06000000000006,1154,0.40126516464471407,Medium Revenue,High Quantity,Very Low 0-20% Range,141.12,336.0
22320,546.86,90,6.076222222222222,Medium Revenue,Low Qunatity,Very High 80-100% Range,261.26000000000005,42.0
22321,441.99999999999994,520,0.8499999999999999,Medium Revenue,Medium Quantity,Low 20-40% Range,309.4,364.0
22322,260.09999999999997,306,0.8499999999999999,Medium Revenue,Medium Quantity,Low 20-40% Range,156.39999999999998,184.0
22323,1.95,1,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,1.95,1.0
22324,339.35999999999996,168,2.0199999999999996,Medium Revenue,Medium Quantity,Medium 40-60% Range,290.60999999999996,143.0
22325,423.6,86,4.925581395348837,Medium Revenue,Low Qunatity,Very High 80-100% Range,215.70000000000002,44.0
22326,4073.5700000000006,1391,2.928519051042416,High Revenue,High Quantity,High 60-80% Range,2810.9700000000003,963.0
22327,1321.6000000000001,448,2.95,High Revenue,Medium Quantity,High 60-80% Range,867.3000000000001,294.0
22328,5429.04,1924,2.821746361746362,High Revenue,High Quantity,High 60-80% Range,4529.29,1619.0
22329,663.3,402,1.65,Medium Revenue,Medium Quantity,Medium 40-60% Range,476.84999999999997,289.0
22331,832.16,512,1.6253125,Medium Revenue,Medium Quantity,Medium 40-60% Range,518.36,316.0
22332,1003.4999999999999,614,1.6343648208469053,Medium Revenue,Medium Quantity,Medium 40-60% Range,670.1999999999999,412.0
22333,4270.48,2784,1.5339367816091953,High Revenue,High Quantity,Medium 40-60% Range,3385.7799999999997,2242.0
22334,650.0899999999999,393,1.6541730279898217,Medium Revenue,Medium Quantity,Medium 40-60% Range,409.19,247.0
22335,869.0500000000001,1349,0.6442179392142329,Medium Revenue,High Quantity,Very Low 0-20% Range,425.1,666.0
22336,421.51000000000005,1589,0.26526746381371935,Medium Revenue,High Quantity,Very Low 0-20% Range,232.41000000000003,923.0
22337,160.55,247,0.65,Low Revenue,Medium Quantity,Very Low 0-20% Range,97.5,150.0
22338,782.6300000000001,3547,0.22064561601353258,Medium Revenue,High Quantity,Very Low 0-20% Range,385.28000000000003,1630.0
22339,301.05,1475,0.20410169491525423,Medium Revenue,High Quantity,Very Low 0-20% Range,127.01,559.0
22340,307.46999999999997,717,0.42882845188284513,Medium Revenue,Medium Quantity,Very Low 0-20% Range,118.71,233.0
22341,593.4499999999999,357,1.6623249299719887,Medium Revenue,Medium Quantity,Medium 40-60% Range,253.54999999999995,151.0
22342,676.3499999999999,723,0.9354771784232364,Medium Revenue,Medium Quantity,Low 20-40% Range,326.54999999999995,335.0
22343,373.51,925,0.4037945945945946,Medium Revenue,High Quantity,Very Low 0-20% Range,288.58,706.0
22344,200.63,629,0.318966613672496,Low Revenue,Medium Quantity,Very Low 0-20% Range,156.03,513.0
22345,222.35999999999999,624,0.3563461538461538,Medium Revenue,Medium Quantity,Very Low 0-20% Range,164.66,506.0
22346,161.60999999999999,501,0.3225748502994012,Low Revenue,Medium Quantity,Very Low 0-20% Range,136.15,439.0
22348,2080.2599999999998,2496,0.8334374999999999,High Revenue,High Quantity,Low 20-40% Range,1605.11,1937.0
22349,5047.929999999999,1293,3.9040448569218866,High Revenue,High Quantity,High 60-80% Range,4361.679999999999,1110.0
22350,3433.3199999999997,1296,2.6491666666666664,High Revenue,High Quantity,High 60-80% Range,3063.5699999999997,1151.0
22351,19.799999999999997,12,1.6499999999999997,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
22352,2517.94,1026,2.4541325536062377,High Revenue,High Quantity,High 60-80% Range,1785.04,728.0
22353,155.54999999999998,61,2.55,Low Revenue,Low Qunatity,High 60-80% Range,109.64999999999999,43.0
22354,1303.42,360,3.6206111111111112,High Revenue,Medium Quantity,High 60-80% Range,992.17,277.0
22355,5576.8,6954,0.8019557089444924,High Revenue,High Quantity,Very Low 0-20% Range,4097.95,5153.0
22356,4218.09,5183,0.8138317576693035,High Revenue,High Quantity,Low 20-40% Range,3317.59,4093.0
22357,1072.6,260,4.125384615384615,Medium Revenue,Medium Quantity,High 60-80% Range,666.35,163.0
22358,1072.8300000000002,365,2.9392602739726033,Medium Revenue,Medium Quantity,High 60-80% Range,562.48,192.0
22359,477.7900000000001,161,2.9676397515527957,Medium Revenue,Medium Quantity,High 60-80% Range,241.79000000000002,81.0
22360,2134.4,764,2.7937172774869112,High Revenue,High Quantity,High 60-80% Range,1195.6000000000001,436.0
22361,983.8000000000001,340,2.893529411764706,Medium Revenue,Medium Quantity,High 60-80% Range,620.95,217.0
22362,589.7800000000001,198,2.9786868686868693,Medium Revenue,Medium Quantity,High 60-80% Range,291.83000000000004,97.0
22363,447.54,154,2.9061038961038963,Medium Revenue,Medium Quantity,High 60-80% Range,305.94,106.0
22364,1251.52,452,2.768849557522124,High Revenue,Medium Quantity,High 60-80% Range,886.47,325.0
22365,4130.64,630,6.556571428571429,High Revenue,Medium Quantity,Very High 80-100% Range,3624.99,567.0
22366,3801.82,574,6.623379790940767,High Revenue,Medium Quantity,Very High 80-100% Range,2957.32,464.0
22367,4113.69,2159,1.9053682260305695,High Revenue,High Quantity,Medium 40-60% Range,2466.09,1303.0
22371,2998.53,711,4.217341772151899,High Revenue,Medium Quantity,High 60-80% Range,1809.73,423.0
22372,717.9300000000001,169,4.24810650887574,Medium Revenue,Medium Quantity,High 60-80% Range,347.53,81.0
22374,1320.54,314,4.205541401273885,High Revenue,Medium Quantity,High 60-80% Range,831.79,199.0
22375,731.75,175,4.1814285714285715,Medium Revenue,Medium Quantity,High 60-80% Range,459.75,111.0
22376,565.69,133,4.253308270676692,Medium Revenue,Medium Quantity,Very High 80-100% Range,314.94,74.0
22377,1247.89,883,1.4132389580973954,High Revenue,High Quantity,Medium 40-60% Range,1007.69,721.0
22378,1201.06,945,1.2709629629629628,High Revenue,High Quantity,Low 20-40% Range,1083.06,865.0
22379,11247.03,5739,1.9597543125980137,High Revenue,High Quantity,Medium 40-60% Range,10430.13,5350.0
22380,1871.45,958,1.9534968684759917,High Revenue,High Quantity,Medium 40-60% Range,1317.3700000000001,662.0
22381,5878.78,2996,1.9622096128170894,High Revenue,High Quantity,Medium 40-60% Range,5217.18,2675.0
22382,11325.45,6957,1.6279215178956448,High Revenue,High Quantity,Medium 40-60% Range,7712.75,4719.0
22383,15302.449999999999,9497,1.611293039907339,High Revenue,High Quantity,Medium 40-60% Range,10968.9,6810.0
22384,13076.95,8107,1.6130442827186382,High Revenue,High Quantity,Medium 40-60% Range,9431.05,5861.0
22385,12887.75,6937,1.8578275911777424,High Revenue,High Quantity,Medium 40-60% Range,11573.33,6280.0
22386,33424.75,18092,1.8474878399292505,High Revenue,High Quantity,Medium 40-60% Range,29363.72,16061.0
22389,505.10999999999996,293,1.7239249146757678,Medium Revenue,Medium Quantity,Medium 40-60% Range,400.41,235.0
22390,111.08,57,1.9487719298245614,Low Revenue,Low Qunatity,Medium 40-60% Range,83.03,38.0
22391,175.92,120,1.466,Low Revenue,Medium Quantity,Medium 40-60% Range,94.35,53.0
22393,468.64,305,1.5365245901639344,Medium Revenue,Medium Quantity,Medium 40-60% Range,289.29999999999995,167.0
22394,165.29999999999998,142,1.1640845070422534,Low Revenue,Medium Quantity,Low 20-40% Range,114.32999999999998,87.0
22395,110.28,116,0.9506896551724138,Low Revenue,Medium Quantity,Low 20-40% Range,49.589999999999996,41.0
22396,312.82,654,0.47831804281345564,Medium Revenue,Medium Quantity,Very Low 0-20% Range,210.35999999999999,406.0
22398,987.91,1756,0.5625911161731207,Medium Revenue,High Quantity,Very Low 0-20% Range,653.39,1132.0
22399,390.0,312,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,292.5,234.0
22400,527.28,1045,0.5045741626794258,Medium Revenue,High Quantity,Very Low 0-20% Range,388.79,734.0
22402,654.37,1100,0.5948818181818182,Medium Revenue,High Quantity,Very Low 0-20% Range,492.98,781.0
22403,453.25,957,0.47361546499477536,Medium Revenue,High Quantity,Very Low 0-20% Range,355.68,748.0
22405,250.57999999999998,250,1.0023199999999999,Medium Revenue,Medium Quantity,Low 20-40% Range,149.65,161.0
22406,305.64,294,1.039591836734694,Medium Revenue,Medium Quantity,Low 20-40% Range,148.4,140.0
22407,66.82,69,0.9684057971014491,Low Revenue,Low Qunatity,Low 20-40% Range,55.57,60.0
22408,110.25,112,0.984375,Low Revenue,Medium Quantity,Low 20-40% Range,60.89,56.0
22409,192.5,154,1.25,Low Revenue,Medium Quantity,Low 20-40% Range,90.0,72.0
22410,176.95,186,0.9513440860215053,Low Revenue,Medium Quantity,Low 20-40% Range,109.77,124.0
22411,18716.27,9759,1.9178471154831438,High Revenue,High Quantity,Medium 40-60% Range,15742.4,8296.0
22412,1679.7000000000003,827,2.031076178960097,High Revenue,High Quantity,Medium 40-60% Range,1301.7000000000003,647.0
22413,9153.15,3177,2.8810670443814916,High Revenue,High Quantity,High 60-80% Range,7433.3,2594.0
22414,1427.8700000000001,223,6.403004484304933,High Revenue,Medium Quantity,Very High 80-100% Range,1180.47,187.0
22415,151.05,19,7.95,Low Revenue,Low Qunatity,Very High 80-100% Range,127.2,16.0
22416,282.75,195,1.45,Medium Revenue,Medium Quantity,Medium 40-60% Range,158.04999999999998,109.0
22417,2082.69,3867,0.5385802948021723,High Revenue,High Quantity,Very Low 0-20% Range,1257.14,2366.0
22418,3669.0899999999997,4323,0.848736988202637,High Revenue,High Quantity,Low 20-40% Range,1993.7399999999998,2352.0
22419,1008.6,2256,0.44707446808510637,Medium Revenue,High Quantity,Very Low 0-20% Range,695.52,1482.0
22420,475.13,1139,0.41714661984196666,Medium Revenue,High Quantity,Very Low 0-20% Range,338.63,814.0
22421,770.0,1865,0.4128686327077748,Medium Revenue,High Quantity,Very Low 0-20% Range,442.21999999999997,1056.0
22422,319.25,851,0.37514688601645124,Medium Revenue,High Quantity,Very Low 0-20% Range,200.36,483.0
22423,110990.2,9641,11.51231200082979,High Revenue,High Quantity,Very High 80-100% Range,90049.0,7937.0
22424,7964.599999999999,665,11.976842105263158,High Revenue,Medium Quantity,Very High 80-100% Range,4933.85,416.0
